This file is created using RaceChrono Pro v10.2.3 ( http://racechrono.com/ ).
Format,3
Session title,"GGLC 2026-06-20"
Session type,Lap timing
Track name,"GGLC 2026-06-20"
Driver name,
Created,20/06/2026,17:32
Note,

timestamp,fragment_id,lap_number,elapsed_time,distance_traveled,accuracy,altitude,bearing,device_battery_level,device_update_rate,fix_type,latitude,longitude,satellites,speed,combined_acc,device_update_rate,lateral_acc,lean_angle,longitudinal_acc,speed,accelerator_pos,relative_throttle_pos,rpm,throttle_pos,device_update_rate,x_acc,y_acc,z_acc,device_update_rate,x_acc,y_acc,z_acc,device_update_rate,x_rate_of_rotation,y_rate_of_rotation,z_rate_of_rotation,device_update_rate,x_rate_of_rotation,y_rate_of_rotation,z_rate_of_rotation,device_update_rate,x_magnetic_field,y_magnetic_field,z_magnetic_field
unix time,,,s,m,m,m,deg,%,Hz,,deg,deg,sats,m/s,G,Hz,G,deg,G,m/s,%,%,rpm,%,Hz,G,G,G,Hz,G,G,G,Hz,deg/s,deg/s,deg/s,Hz,deg/s,deg/s,deg/s,Hz,uT,uT,uT
,,,,,200: gps,200: gps,200: gps,200: gps,200: gps,200: gps,200: gps,200: gps,200: gps,200: gps,calc,calc,calc,calc,calc,calc,300: obd,300: obd,300: obd,300: obd,100: acc,100: acc,100: acc,100: acc,201: acc,201: acc,201: acc,201: acc,101: gyro,101: gyro,101: gyro,101: gyro,202: gyro,202: gyro,202: gyro,202: gyro,102: magn,102: magn,102: magn,102: magn
1781977626.016,0,,856.657,110.509,0.18,22.76241,38.943,98.0,24.9995,3.0,36.6666822,-121.606101,14.0,0.02541,0.00003,20.0,0.0,0.0,-0.00002,0.02485,14.90196,2.7451,798.63905,12.94118,100.02737,-0.03549,0.93671,0.35935,24.9995,-0.66941,-0.0322,0.72044,100.13602,-0.6006,0.0108,-0.718,24.9995,-3.39359,0.62564,0.0259,98.11367,99.2518,-213.4868,-638.6443
1781977626.018,0,,856.659,110.509,0.18,22.76246,38.943,98.0,24.99949,3.0,36.6666822,-121.606101,14.0,0.02546,0.00003,20.0,0.0,0.0,-0.00002,0.02474,14.90196,2.7451,798.39053,12.94118,100.02762,-0.03647,0.93347,0.36375,24.99949,-0.66946,-0.0321,0.72049,100.13566,-0.818,-0.227,-1.072,24.99949,-3.39154,0.63385,0.02538,98.11364,99.399,-213.608,-638.6845
1781977626.023,0,,856.664,110.509,0.18,22.76259,38.943,98.0,24.99947,3.0,36.6666822,-121.606101,14.0,0.02559,0.00003,20.0,0.0,0.0,-0.00001,0.02447,14.90196,2.7451,797.76923,12.94118,100.02824,-0.03891,0.92536,0.37477,24.99947,-0.66958,-0.03184,0.72062,100.13469,0.043,-0.0395,-0.517,24.99947,-3.38641,0.65436,0.0241,98.11358,99.767,-213.911,-638.785
1781977626.026,0,,856.667,110.509,0.18,22.76267,38.943,98.0,24.99946,3.0,36.6666822,-121.606101,14.0,0.02567,0.00003,20.0,0.0,0.0,-0.00001,0.0243,14.90196,2.7451,797.39645,12.94118,100.02861,-0.04038,0.9205,0.38137,24.99946,-0.66965,-0.03168,0.7207,100.13411,0.5596,0.073,-0.184,24.99946,-3.38333,0.66667,0.02333,98.11358,99.6038,-213.767,-638.7427
1781977626.028,0,,856.669,110.509,0.18,22.76272,38.943,98.0,24.99946,3.0,36.6666822,-121.606101,14.0,0.02572,0.00003,20.0,0.0,0.0,-0.00001,0.02419,14.90196,2.7451,797.14793,12.94118,100.02889,-0.04322,0.91931,0.38213,24.99946,-0.66969,-0.03157,0.72075,100.13372,0.904,0.148,0.038,24.99946,-3.38128,0.67487,0.02282,98.11358,99.495,-213.671,-638.7145
1781977626.033,0,,856.674,110.509,0.18,22.76285,38.943,98.0,24.99944,3.0,36.6666822,-121.606101,14.0,0.02585,0.00003,20.0,0.0,0.0,-0.0,0.02392,14.90196,2.7451,796.52663,12.94118,100.02958,-0.0503,0.91636,0.38401,24.99944,-0.66981,-0.03131,0.72088,100.13268,0.118,0.056,-0.1495,24.99944,-3.37615,0.69538,0.02154,98.11359,99.223,-213.431,-638.644
1781977626.036,0,,856.677,110.509,0.18,22.76292,38.943,98.0,24.99943,3.0,36.6666822,-121.606101,14.0,0.02592,0.00003,20.0,0.0,0.0,0.0,0.02376,14.90196,2.7451,796.15385,12.94118,100.02999,-0.05455,0.91458,0.38515,24.99943,-0.66988,-0.03116,0.72096,100.13206,-0.3536,0.0008,-0.262,24.99943,-3.37308,0.70769,0.02077,98.11359,99.4282,-213.5201,-638.6374
1781977626.038,0,,856.679,110.509,0.18,22.76297,38.943,98.0,24.99942,3.0,36.6666822,-121.606101,14.0,0.02597,0.00003,20.0,0.0,0.0,0.0,0.02365,14.90196,2.7451,795.90533,12.94118,100.03029,-0.05356,0.91948,0.38066,24.99942,-0.66993,-0.03105,0.72102,100.13164,-0.668,-0.036,-0.337,24.99942,-3.37103,0.7159,0.02026,98.11358,99.565,-213.5795,-638.633
1781977626.039,0,,856.68,110.509,0.18,22.763,38.943,98.0,24.99942,3.0,36.6666822,-121.606101,14.0,0.026,0.00003,20.0,0.0,0.0,0.00001,0.02359,14.90196,2.7451,795.78107,12.94118,100.03044,-0.05306,0.92193,0.37842,24.99942,-0.66995,-0.031,0.72104,100.13142,-0.5803,-0.0323,-0.2493,24.99942,-3.37,0.72,0.02,98.11358,99.6334,-213.6092,-638.6308
1781977626.043,0,,856.684,110.509,0.18,22.763,38.943,98.0,24.99941,3.0,36.6666822,-121.606101,14.0,0.0253,0.00003,20.0,0.0,0.0,0.00001,0.02337,14.90196,2.7451,795.28402,12.94118,100.03103,-0.05106,0.93171,0.36944,24.99941,-0.66995,-0.0312,0.72104,100.13053,-0.2295,-0.0175,0.1015,24.99941,-3.374,0.718,0.022,98.11357,99.907,-213.728,-638.622
1781977626.046,0,,856.687,110.509,0.18,22.763,38.943,98.0,24.99941,3.0,36.6666822,-121.606101,14.0,0.02477,0.00003,20.0,0.0,0.0,0.00001,0.02321,14.90196,2.7451,794.91124,12.94118,100.03148,-0.04956,0.93906,0.36271,24.99941,-0.66995,-0.03136,0.72104,100.12987,0.0336,-0.0064,0.3646,24.99941,-3.377,0.7165,0.0235,98.11358,99.7867,-213.7088,-638.61
1781977626.048,0,,856.689,110.509,0.18,22.763,38.943,98.0,24.9994,3.0,36.6666822,-121.606101,14.0,0.02443,0.00003,20.0,0.0,0.0,0.00002,0.0231,14.90196,2.7451,794.66272,12.94118,100.0318,-0.04842,0.93072,0.37116,24.9994,-0.66995,-0.03146,0.72104,100.12942,0.209,0.001,0.54,24.9994,-3.379,0.7155,0.0245,98.11358,99.7065,-213.696,-638.602
1781977626.053,0,,856.694,110.509,0.18,22.763,38.943,98.0,24.9994,3.0,36.6666822,-121.606101,14.0,0.02355,0.00003,20.0,0.0,0.0,0.00002,0.02283,14.90196,2.7451,794.04142,12.94118,100.0326,-0.04556,0.90986,0.39226,24.9994,-0.66995,-0.03171,0.72104,100.12825,0.2065,0.018,-0.2575,24.9994,-3.384,0.713,0.027,98.11359,99.506,-213.664,-638.582
1781977626.056,0,,856.697,110.509,0.18,22.763,38.943,98.0,24.99939,3.0,36.6666822,-121.606101,14.0,0.02302,0.00003,20.0,0.0,0.0,0.00002,0.02266,14.90196,2.7451,793.66864,12.94118,100.03308,-0.04385,0.89735,0.40493,24.99939,-0.66995,-0.03187,0.72104,100.12754,0.205,0.0282,-0.736,24.99939,-3.387,0.7115,0.0285,98.11359,99.485,-213.5905,-638.51
1781977626.057,0,,856.698,110.509,0.18,22.763,38.943,98.0,24.99939,3.0,36.6666822,-121.606101,14.0,0.02285,0.00003,20.0,0.0,0.0,0.00003,0.02261,14.90196,2.7451,793.54438,12.94118,100.03326,-0.0425,0.90142,0.4004,24.99939,-0.66995,-0.03192,0.72104,100.12731,0.2045,0.0316,-0.8955,24.99939,-3.388,0.711,0.029,98.11359,99.478,-213.566,-638.486
1781977626.058,0,,856.699,110.509,0.18,22.763,38.943,98.0,24.99939,3.0,36.6666822,-121.606101,14.0,0.02268,0.00003,20.0,0.0,0.0,0.00003,0.02255,14.90196,2.7451,793.42012,12.94118,100.03343,-0.04116,0.90549,0.39587,24.99939,-0.66995,-0.03197,0.72104,100.12707,0.204,0.035,-1.055,24.99939,-3.389,0.7105,0.0295,98.11359,99.471,-213.5415,-638.462
1781977626.059,0,,856.7,110.509,0.18,22.763,38.943,98.0,24.99939,3.0,36.6666822,-121.606101,14.0,0.0225,0.00003,20.0,0.0,0.0,0.00003,0.0225,14.90196,2.7451,793.29586,12.94118,100.0336,-0.03981,0.90956,0.39135,24.99939,-0.66995,-0.03202,0.72104,100.12682,0.1748,-0.065,-1.0628,24.99939,-3.39,0.71,0.03,98.11359,99.464,-213.517,-638.438
1781977626.063,0,,856.704,110.509,0.18,22.763,38.943,98.0,24.99938,3.0,36.6666822,-121.606101,14.0,0.0218,0.00003,20.0,0.0,0.0,0.00003,0.02168,14.90196,2.7451,792.79882,12.94118,100.03429,-0.03443,0.92583,0.37324,24.99938,-0.66995,-0.03222,0.72104,100.12584,0.058,-0.465,-1.094,24.99938,-3.394,0.708,0.032,98.1136,99.436,-213.419,-638.342
1781977626.066,0,,856.707,110.509,0.18,22.763,38.943,98.0,24.99938,3.0,36.6666822,-121.606101,14.0,0.02128,0.00003,20.0,0.0,0.0,0.00003,0.02107,14.90196,2.7451,792.42604,12.94118,100.03481,-0.03039,0.93804,0.35965,24.99938,-0.66995,-0.03238,0.72104,100.1251,-0.0296,-0.765,-1.1174,24.99938,-3.397,0.7065,0.0335,98.11355,99.65173,-213.52482,-638.41291
1781977626.068,0,,856.709,110.509,0.18,22.763,38.943,98.0,24.99938,3.0,36.6666822,-121.606101,14.0,0.02093,0.00003,20.0,0.0,0.0,0.00003,0.02066,14.90196,2.7451,792.17751,12.94118,100.03518,-0.03742,0.93473,0.3641,24.99938,-0.66995,-0.03248,0.72104,100.12461,-0.088,-0.965,-1.133,24.99938,-3.399,0.7055,0.0345,98.11352,99.79555,-213.59536,-638.46018
1781977626.074,0,,856.715,110.509,0.18,22.763,38.943,98.0,24.99937,3.0,36.6666822,-121.606101,14.0,0.01987,0.00003,20.0,0.0,0.0,0.00003,0.01942,14.90196,2.7451,791.43195,12.94118,100.03628,-0.05853,0.92482,0.37744,24.99937,-0.66995,-0.03278,0.72104,100.12306,0.2258,-0.6086,0.1936,24.99937,-3.405,0.7025,0.0375,98.11342,100.227,-213.807,-638.602
1781977626.076,0,,856.717,110.509,0.18,22.763,38.943,98.0,24.99937,3.0,36.6666822,-121.606101,14.0,0.01953,0.00003,20.0,0.0,0.0,0.00003,0.01902,14.90196,2.7451,791.18343,12.94118,100.03665,-0.06557,0.92152,0.38188,24.99937,-0.66995,-0.03289,0.72104,100.12254,0.3304,-0.4898,0.6358,24.99937,-3.407,0.7015,0.0385,98.11343,100.009,-213.6796,-638.546
1781977626.077,0,,856.718,110.509,0.18,22.763,38.943,98.0,24.99937,3.0,36.6666822,-121.606101,14.0,0.01935,0.00003,20.0,0.0,0.0,0.00003,0.01881,14.90196,2.7451,791.05917,12.94118,100.03684,-0.06344,0.92161,0.38134,24.99937,-0.66995,-0.03294,0.72104,100.12228,0.3827,-0.4304,0.8569,24.99937,-3.408,0.701,0.039,98.11343,99.9,-213.6159,-638.518
1781977626.078,0,,856.719,110.509,0.18,22.763,38.943,98.0,24.99936,3.0,36.6666822,-121.606101,14.0,0.01917,0.00003,20.0,0.0,0.0,0.00003,0.0186,14.90196,2.7451,790.93491,12.94118,100.03704,-0.06131,0.9217,0.3808,24.99936,-0.66995,-0.03299,0.72104,100.12202,0.435,-0.371,1.078,24.99936,-3.409,0.7005,0.0395,98.11343,99.791,-213.5522,-638.49
1781977626.079,0,,856.72,110.509,0.18,22.763,38.943,98.0,24.99936,3.0,36.6666822,-121.606101,14.0,0.019,0.00003,20.0,0.0,0.0,0.00003,0.0184,14.90196,2.7451,790.81065,12.94118,100.03723,-0.05917,0.92179,0.38026,24.99936,-0.66995,-0.03304,0.72104,100.12175,0.3453,-0.2996,0.9153,24.99936,-3.41,0.7,0.04,98.11343,99.682,-213.4885,-638.462
1781977626.084,0,,856.725,110.509,0.18,22.76263,38.943,98.0,24.99936,3.0,36.6666822,-121.606101,14.0,0.01788,0.00003,20.0,0.0,0.0,0.00003,0.01737,14.90196,2.7451,790.18935,12.94118,100.0382,-0.04852,0.92225,0.37756,24.99936,-0.67008,-0.03291,0.72091,100.12041,-0.1032,0.0574,0.1018,24.99936,-3.4075,0.7025,0.03875,98.11344,99.137,-213.17,-638.322
1781977626.086,0,,856.727,110.509,0.18,22.76248,38.943,98.0,24.99935,3.0,36.6666822,-121.606101,14.0,0.01743,0.00003,20.0,0.0,0.0,0.00003,0.01697,14.90196,2.7451,789.94083,12.94118,100.03859,-0.04426,0.92244,0.37648,24.99935,-0.67013,-0.03286,0.72086,100.11987,-0.2826,0.2002,-0.2236,24.99935,-3.4065,0.7035,0.03825,98.11344,99.297,-213.2092,-638.3692
1781977626.088,0,,856.729,110.509,0.18,22.76233,38.943,98.0,24.99935,3.0,36.6666822,-121.606101,14.0,0.01697,0.00003,20.0,0.0,0.0,0.00003,0.01655,14.90196,2.7451,789.69231,12.94118,100.039,-0.03824,0.92447,0.37644,24.99935,-0.67018,-0.03281,0.72081,100.11934,-0.462,0.343,-0.549,24.99935,-3.4055,0.7045,0.03775,98.11343,99.457,-213.2484,-638.4164
1781977626.094,0,,856.735,110.509,0.18,22.76188,38.943,98.0,24.99934,3.0,36.6666822,-121.606101,14.0,0.01563,0.00003,20.0,0.0,0.0,0.00003,0.01532,14.90196,2.7451,788.94675,12.94118,100.04024,-0.02019,0.93059,0.37632,24.99934,-0.67034,-0.03266,0.72066,100.11767,-0.1422,0.499,-0.7266,24.99934,-3.4025,0.7075,0.03625,98.11341,99.937,-213.366,-638.558
1781977626.096,0,,856.737,110.509,0.18,22.76173,38.943,98.0,24.99934,3.0,36.6666822,-121.606101,14.0,0.01518,0.00003,20.0,0.0,0.0,0.00003,0.01492,14.90196,2.7451,788.69822,12.94118,100.04065,-0.01417,0.93263,0.37628,24.99934,-0.67039,-0.03261,0.72061,100.11712,-0.0356,0.551,-0.7858,24.99934,-3.4015,0.7085,0.03575,98.11341,99.9308,-213.3604,-638.5938
1781977626.098,0,,856.739,110.509,0.18,22.76158,38.943,98.0,24.99934,3.0,36.6666822,-121.606101,14.0,0.01472,0.00003,20.0,0.0,0.0,0.00003,0.0145,14.90196,2.7451,788.4497,12.94118,100.04108,-0.02027,0.92817,0.38009,24.99934,-0.67044,-0.03255,0.72056,100.11656,0.071,0.603,-0.845,24.99934,-3.4005,0.7095,0.03525,98.11341,99.9246,-213.3548,-638.6296
1781977626.104,0,,856.745,110.509,0.18,22.76113,38.943,98.0,24.99933,3.0,36.6666822,-121.606101,14.0,0.01338,0.00003,20.0,0.0,0.0,0.00003,0.01327,14.90196,2.7451,787.70414,12.94118,100.04238,-0.03857,0.91477,0.39153,24.99933,-0.67059,-0.0324,0.7204,100.11484,-0.0214,0.9222,-0.4478,24.99933,-3.3975,0.7125,0.03375,98.11341,99.906,-213.338,-638.737
1781977626.106,0,,856.747,110.509,0.18,22.76098,38.943,98.0,24.99933,3.0,36.6666822,-121.606101,14.0,0.01293,0.00003,20.0,0.0,0.0,0.00003,0.01287,14.90196,2.7451,787.45562,12.94118,100.04281,-0.04466,0.9103,0.39534,24.99933,-0.67064,-0.03235,0.72035,100.11427,-0.0522,1.0286,-0.3154,24.99933,-3.3965,0.7135,0.03325,98.11344,99.7638,-213.2964,-638.6536
1781977626.108,0,,856.749,110.509,0.18,22.76083,38.943,98.0,24.99933,3.0,36.6666822,-121.606101,14.0,0.01247,0.00003,20.0,0.0,0.0,0.00003,0.01245,14.90196,2.7451,787.2071,12.94118,100.04326,-0.04754,0.9155,0.38821,24.99933,-0.67069,-0.0323,0.7203,100.1137,-0.083,1.135,-0.183,24.99933,-3.3955,0.7145,0.03275,98.11347,99.6216,-213.2548,-638.5702
1781977626.109,0,,856.75,110.509,0.18,22.76075,38.943,98.0,24.99933,3.0,36.6666822,-121.606101,14.0,0.01225,0.00003,20.0,0.0,0.0,0.00003,0.01225,14.90196,2.7451,787.08284,12.94118,100.04349,-0.04898,0.9181,0.38464,24.99933,-0.67072,-0.03227,0.72028,100.1134,-0.0859,1.0053,-0.1323,24.99933,-3.395,0.715,0.0325,98.11349,99.5505,-213.234,-638.5285
1781977626.114,0,,856.755,110.509,0.18,22.76038,38.943,98.0,24.99932,3.0,36.6666822,-121.606101,14.0,0.01113,0.00005,20.0,0.0,0.0,0.00005,0.01193,14.90196,2.7451,786.46154,12.94118,100.04462,-0.05617,0.9311,0.36679,24.99932,-0.67085,-0.03215,0.72015,100.11193,-0.1004,0.3568,0.1212,24.99932,-3.3925,0.7175,0.03125,98.11358,99.195,-213.13,-638.32
1781977626.116,0,,856.757,110.509,0.18,22.76023,38.943,98.0,24.99932,3.0,36.6666822,-121.606101,14.0,0.01068,0.00005,20.0,0.0,0.0,0.00005,0.0118,14.90196,2.7451,786.21302,12.94118,100.04507,-0.05904,0.9363,0.35965,24.99932,-0.6709,-0.0321,0.7201,100.11134,-0.1062,0.0974,0.2226,24.99932,-3.3915,0.7185,0.03075,98.11354,99.40755,-213.24145,-638.39418
1781977626.118,0,,856.759,110.509,0.18,22.76008,38.943,98.0,24.99932,3.0,36.6666822,-121.606101,14.0,0.01022,0.00006,20.0,0.0,0.0,0.00006,0.01167,14.90196,2.7451,785.9645,12.94118,100.04554,-0.05882,0.93182,0.36473,24.99932,-0.67095,-0.03204,0.72005,100.11076,-0.112,-0.162,0.324,24.99932,-3.3905,0.7195,0.03025,98.11351,99.62009,-213.35291,-638.46836
1781977626.119,0,,856.76,110.509,0.18,22.76,38.943,98.0,24.99932,3.0,36.6666822,-121.606101,14.0,0.01,0.00006,20.0,0.0,0.0,0.00006,0.0116,14.90196,2.7451,785.84024,12.94118,100.04578,-0.05871,0.92957,0.36727,24.99932,-0.67097,-0.03202,0.72002,100.11046,-0.0408,-0.2275,0.3068,24.99932,-3.39,0.72,0.03,98.1135,99.72636,-213.40864,-638.50545
1781977626.125,0,,856.766,110.509,0.18,22.76,38.943,98.0,24.99932,3.0,36.6666822,-121.606101,14.0,0.00985,0.00007,20.0,0.0,0.0,0.00007,0.01121,14.90196,2.7451,785.09467,12.94118,100.0472,-0.05803,0.91611,0.38251,24.99932,-0.67097,-0.03217,0.72002,100.10866,0.3864,-0.6205,0.2036,24.99932,-3.3975,0.7095,0.0315,98.1134,100.364,-213.743,-638.728
1781977626.126,0,,856.767,110.509,0.18,22.76,38.943,98.0,24.99932,3.0,36.6666822,-121.606101,14.0,0.00982,0.00008,20.0,0.0,0.0,0.00008,0.01115,14.90196,2.7451,784.97041,12.94118,100.04743,-0.05792,0.91387,0.38504,24.99932,-0.67097,-0.0322,0.72002,100.10836,0.4576,-0.686,0.1864,24.99932,-3.39875,0.70775,0.03175,98.1134,100.2905,-213.7074,-638.6864
1781977626.128,0,,856.769,110.509,0.18,22.76,38.943,98.0,24.99932,3.0,36.6666822,-121.606101,14.0,0.00977,0.00008,20.0,0.0,0.0,0.00008,0.01102,14.90196,2.7451,784.72189,12.94118,100.04796,-0.05227,0.91397,0.38447,24.99932,-0.67097,-0.03225,0.72002,100.10776,0.6,-0.817,0.152,24.99932,-3.40125,0.70425,0.03225,98.11341,100.1435,-213.6362,-638.6032
1781977626.135,0,,856.776,110.509,0.18,22.76,38.943,98.0,24.99932,3.0,36.6666822,-121.606101,14.0,0.0096,0.0001,20.0,0.0,0.0,0.0001,0.01056,14.90196,2.7451,783.85207,12.94118,100.04979,-0.0325,0.91433,0.38248,24.99932,-0.67097,-0.03243,0.72002,100.10562,0.0855,-0.5349,-1.0849,24.99932,-3.41,0.692,0.034,98.11343,99.629,-213.387,-638.312
1781977626.136,0,,856.777,110.509,0.18,22.76,38.943,98.0,24.99932,3.0,36.6666822,-121.606101,14.0,0.00957,0.0001,20.0,0.0,0.0,0.0001,0.0105,14.90196,2.7451,783.72781,12.94118,100.05005,-0.02967,0.91438,0.38219,24.99932,-0.67097,-0.03245,0.72002,100.10531,0.012,-0.4946,-1.2616,24.99932,-3.41125,0.69025,0.03425,98.11343,99.6236,-213.3912,-638.3209
1781977626.138,0,,856.779,110.509,0.18,22.76,38.943,98.0,24.99932,3.0,36.6666822,-121.606101,14.0,0.00952,0.0001,20.0,0.0,0.0,0.0001,0.01037,14.90196,2.7451,783.47929,12.94118,100.05058,-0.03169,0.91893,0.37989,24.99932,-0.67097,-0.0325,0.72002,100.1047,-0.135,-0.414,-1.615,24.99932,-3.41375,0.68675,0.03475,98.11343,99.6128,-213.3996,-638.3387
1781977626.145,0,,856.786,110.509,0.18,22.76,38.943,98.0,24.99932,3.0,36.6666822,-121.606101,14.0,0.00935,0.00012,20.0,0.0,0.0,0.00012,0.00991,14.90196,2.7451,782.60947,12.94118,100.05246,-0.03876,0.93485,0.37182,24.99932,-0.67097,-0.03268,0.72002,100.10252,-0.2211,-0.4553,-0.439,24.99932,-3.4225,0.6745,0.0365,98.11341,99.575,-213.429,-638.401
1781977626.146,0,,856.787,110.509,0.18,22.76,38.943,98.0,24.99932,3.0,36.6666822,-121.606101,14.0,0.00932,0.00012,20.0,0.0,0.0,0.00012,0.00985,14.90196,2.7451,782.48521,12.94118,100.05273,-0.03977,0.93712,0.37067,24.99932,-0.67097,-0.03271,0.72002,100.10221,-0.2334,-0.4612,-0.271,24.99932,-3.42375,0.67275,0.03675,98.11341,99.5735,-213.4242,-638.4021
1781977626.147,0,,856.788,110.509,0.18,22.76,38.943,98.0,24.99932,3.0,36.6666822,-121.606101,14.0,0.0093,0.00013,20.0,0.0,0.0,0.00013,0.00978,14.90196,2.7451,782.36095,12.94118,100.053,-0.0424,0.93492,0.37235,24.99932,-0.67097,-0.03273,0.72002,100.1019,-0.2457,-0.4671,-0.103,24.99932,-3.425,0.671,0.037,98.11341,99.572,-213.4194,-638.4032
1781977626.148,0,,856.789,110.509,0.18,22.76,38.943,98.0,24.99932,3.0,36.6666822,-121.606101,14.0,0.00927,0.00013,20.0,0.0,0.0,0.00013,0.00972,14.90196,2.7451,782.23669,12.94118,100.05328,-0.04503,0.93271,0.37403,24.99932,-0.67097,-0.03276,0.72002,100.10159,-0.258,-0.473,0.065,24.99932,-3.42625,0.66925,0.03725,98.11341,99.5705,-213.4146,-638.4043
1781977626.155,0,,856.796,110.509,0.18,22.76,38.943,98.0,24.99932,3.0,36.6666822,-121.606101,14.0,0.0091,0.00015,20.0,0.0,0.0,0.00015,0.00926,14.90196,2.7451,781.36686,12.94118,100.05521,-0.06345,0.9173,0.38581,24.99932,-0.67097,-0.03294,0.72002,100.09939,-0.0732,0.206,0.4444,24.99932,-3.435,0.657,0.039,98.1134,99.56,-213.381,-638.412
1781977626.156,0,,856.797,110.509,0.18,22.76,38.943,98.0,24.99932,3.0,36.6666822,-121.606101,14.0,0.00907,0.00015,20.0,0.0,0.0,0.00015,0.0092,14.90196,2.7451,781.2426,12.94118,100.05549,-0.06608,0.91509,0.38749,24.99932,-0.67097,-0.03296,0.72002,100.09908,-0.0468,0.303,0.4986,24.99932,-3.43625,0.65525,0.03925,98.11342,99.5044,-213.3586,-638.3674
1781977626.158,0,,856.799,110.509,0.18,22.76,38.943,98.0,24.99932,3.0,36.6666822,-121.606101,14.0,0.00902,0.00015,20.0,0.0,0.0,0.00015,0.00907,14.90196,2.7451,780.99408,12.94118,100.05606,-0.05796,0.91836,0.38362,24.99932,-0.67097,-0.03301,0.72002,100.09845,0.006,0.497,0.607,24.99932,-3.43875,0.65175,0.03975,98.11345,99.3932,-213.3138,-638.2782
1781977626.159,0,,856.8,110.509,0.18,22.76,38.943,98.0,24.99932,3.0,36.6666822,-121.606101,14.0,0.009,0.00016,20.0,0.0,0.0,0.00016,0.009,14.90196,2.7451,780.86982,12.94118,100.05634,-0.0539,0.91999,0.38168,24.99932,-0.67097,-0.03304,0.72002,100.09813,0.0095,0.4119,0.4084,24.99932,-3.44,0.65,0.04,98.11347,99.3376,-213.2914,-638.2336
1781977626.159,0,,856.8,110.509,0.18,22.76,38.943,98.0,24.99932,3.0,36.6666822,-121.606101,14.0,0.009,0.00016,20.0,0.0,0.0,0.00016,0.009,14.90196,2.7451,780.86982,12.94118,100.05634,-0.0539,0.91999,0.38168,24.99932,-0.67097,-0.03304,0.72002,100.09813,0.0095,0.4119,0.4084,24.99932,-3.44,0.65,0.04,98.11347,99.3376,-213.2914,-638.2336
1781977626.165,0,,856.806,110.509,0.18,22.76,38.943,98.0,24.99932,3.0,36.6666822,-121.606101,14.0,0.01065,0.00021,20.0,0.0,0.0,0.00021,0.01035,14.90196,2.7451,780.12426,12.94118,100.05804,-0.02955,0.92978,0.37006,24.99932,-0.67082,-0.03304,0.72002,100.09623,0.0305,-0.0987,-0.7832,24.99932,-3.437,0.6515,0.04,98.11358,99.004,-213.157,-637.966
1781977626.166,0,,856.807,110.509,0.18,22.76,38.943,98.0,24.99933,3.0,36.6666822,-121.606101,14.0,0.01093,0.00021,20.0,0.0,0.0,0.00021,0.01058,14.90196,2.7451,780.0,12.94118,100.05832,-0.02549,0.93141,0.36812,24.99933,-0.67079,-0.03304,0.72002,100.09591,0.034,-0.1838,-0.9818,24.99933,-3.4365,0.65175,0.04,98.11356,99.051,-213.18909,-637.98755
1781977626.168,0,,856.809,110.509,0.18,22.76,38.943,98.0,24.99933,3.0,36.6666822,-121.606101,14.0,0.01147,0.00023,20.0,0.0,0.0,0.00023,0.01103,14.90196,2.7451,780.65649,12.94118,100.05889,-0.02688,0.92996,0.37116,24.99933,-0.67074,-0.03304,0.72002,100.09528,0.041,-0.354,-1.379,24.99933,-3.4355,0.65225,0.04,98.11353,99.145,-213.25327,-638.03064
1781977626.176,0,,856.817,110.509,0.18,22.76,38.943,98.0,24.99934,3.0,36.6666822,-121.606101,14.0,0.01368,0.0003,20.0,0.0,0.0,0.0003,0.01283,14.90196,2.7451,783.28244,12.94118,100.0612,-0.03243,0.92417,0.38331,24.99934,-0.67054,-0.03304,0.72002,100.09272,0.4162,-0.258,-0.5102,24.99934,-3.4315,0.65425,0.04,98.1134,99.521,-213.51,-638.203
1781977626.178,0,,856.819,110.509,0.18,22.76,38.943,98.0,24.99934,3.0,36.6666822,-121.606101,14.0,0.01422,0.00031,20.0,0.0,0.0,0.00031,0.01327,14.90196,2.7451,783.93893,12.94118,100.06179,-0.03789,0.92299,0.38176,24.99934,-0.67049,-0.03304,0.72002,100.09208,0.51,-0.234,-0.293,24.99934,-3.4305,0.65475,0.04,98.11341,99.4128,-213.462,-638.1656
1781977626.186,0,,856.827,110.509,0.18,22.76,38.943,98.0,24.99935,3.0,36.6666822,-121.606101,14.0,0.01642,0.00038,20.0,0.0,0.0,0.00038,0.01508,14.90196,2.7451,786.56489,12.94118,100.06415,-0.05976,0.91825,0.37556,24.99935,-0.67028,-0.03304,0.72002,100.08953,-0.282,0.274,0.1622,24.99935,-3.4265,0.65675,0.04,98.11344,98.98,-213.27,-638.016
1781977626.188,0,,856.829,110.509,0.18,22.76,38.943,98.0,24.99935,3.0,36.6666822,-121.606101,14.0,0.01697,0.0004,20.0,0.0,0.0,0.0004,0.01552,14.90196,2.7451,787.22137,12.94118,100.06475,-0.05557,0.92135,0.37534,24.99935,-0.67023,-0.03304,0.72002,100.08889,-0.48,0.401,0.276,24.99935,-3.4255,0.65725,0.04,98.11344,99.0048,-213.2672,-637.9878
